table_schema|table_name|all_columns
telecom_core|customer_accounts|customer_id, account_number, first_name, last_name, email, phone_number, registration_date, account_status, credit_limit, payment_method
telecom_core|prepaid_plans|plan_id, plan_name, plan_type, monthly_fee, data_allowance_gb, voice_minutes, sms_count, validity_days, is_active, created_date
telecom_core|subscriber_usage|usage_id, customer_id, plan_id, usage_date, data_used_mb, voice_minutes_used, sms_sent, overage_charges, billing_cycle
telecom_core|device_inventory|device_id, imei, device_model, manufacturer, purchase_date, warranty_expiry, device_status, assigned_customer_id
telecom_core|network_towers|tower_id, tower_name, latitude, longitude, coverage_radius_km, technology_type, installation_date, maintenance_status
telecom_core|call_detail_records|cdr_id, caller_number, called_number, call_start_time, call_duration_seconds, call_type, tower_id, billing_amount
telecom_core|data_sessions|session_id, customer_id, session_start, session_end, data_volume_mb, ip_address, device_type, network_type
telecom_core|billing_transactions|transaction_id, customer_id, transaction_date, amount, transaction_type, payment_status, payment_method, invoice_number
telecom_core|customer_support_tickets|ticket_id, customer_id, issue_category, priority_level, status, created_date, resolved_date, agent_id, resolution_notes
telecom_core|roaming_usage|roaming_id, customer_id, country_code, operator_name, usage_date, data_used_mb, voice_minutes, sms_count, roaming_charges
telecom_prepaid|balance_history|balance_id, customer_id, transaction_date, previous_balance, transaction_amount, new_balance, transaction_type, expiry_date
telecom_prepaid|recharge_transactions|recharge_id, customer_id, recharge_amount, recharge_date, payment_method, bonus_data_mb, bonus_minutes, validity_extension_days
telecom_prepaid|service_activations|activation_id, customer_id, service_code, service_name, activation_date, service_fee, validity_period, auto_renewal
telecom_prepaid|data_packs|pack_id, pack_name, data_amount_gb, price, validity_days, speed_limit_mbps, is_addon, target_customer_segment
telecom_prepaid|emergency_credit|credit_id, customer_id, credit_amount, granted_date, repayment_due_date, repayment_status, interest_rate
telecom_prepaid|friend_family_numbers|ff_id, customer_id, friend_number, relationship_type, added_date, special_rate, call_minutes_used
telecom_prepaid|loyalty_points|points_id, customer_id, points_earned, points_used, transaction_date, points_balance, earning_source, expiry_date
